Season,wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,runSB,runCS,R/PA,R/W,cFIP
2026,0.317,1.237,0.698,0.729,0.890,1.261,1.595,2.048,0.200,-0.413,0.119,9.836,3.097
2025,0.313,1.232,0.691,0.722,0.882,1.252,1.584,2.037,0.200,-0.410,0.118,9.774,3.135
2024,0.310,1.242,0.689,0.720,0.882,1.254,1.590,2.050,0.200,-0.405,0.117,9.683,3.166
2023,0.318,1.204,0.696,0.726,0.883,1.244,1.569,2.004,0.200,-0.422,0.122,10.028,3.255
2022,0.310,1.259,0.689,0.720,0.884,1.261,1.601,2.072,0.200,-0.397,0.114,9.524,3.112
2021,0.314,1.209,0.692,0.722,0.879,1.242,1.568,2.007,0.200,-0.419,0.121,9.973,3.170
2020,0.320,1.185,0.699,0.728,0.883,1.238,1.558,1.979,0.200,-0.435,0.125,10.282,3.191
2019,0.320,1.157,0.690,0.719,0.870,1.217,1.529,1.940,0.200,-0.435,0.126,10.296,3.214
2018,0.315,1.226,0.690,0.720,0.880,1.247,1.578,2.031,0.200,-0.407,0.117,9.714,3.160
2017,0.321,1.185,0.693,0.723,0.877,1.232,1.552,1.980,0.200,-0.423,0.122,10.048,3.158
2016,0.318,1.212,0.691,0.721,0.878,1.242,1.569,2.015,0.200,-0.410,0.118,9.778,3.147
2015,0.313,1.251,0.687,0.718,0.881,1.256,1.594,2.065,0.200,-0.392,0.112,9.421,3.134
