role,stage,age,mean,q10,q90
H,k,20,0.24584291084023524,,
H,k,21,0.24368234890340948,,
H,k,22,0.2420520617594665,,
H,k,23,0.23891108278906045,,
H,k,24,0.23710061782069825,,
H,k,25,0.23189587014132979,,
H,k,26,0.2279496740218814,,
H,k,27,0.22436479571920787,,
H,k,28,0.2254919807645717,,
H,k,29,0.22774206026332008,,
H,k,30,0.23084686841492422,,
H,k,31,0.23454796701015046,,
H,k,32,0.23901865080193865,,
H,k,33,0.24721904877200768,,
H,k,34,0.25671334430279835,,
H,k,35,0.26643476610039085,,
H,k,36,0.27711991458146507,,
H,k,37,0.28812606985863004,,
H,k,38,0.29986797081439687,,
H,k,39,0.3125666914872141,,
H,k,40,0.32628848345075817,,
H,bb,20,0.11421366668583348,,
H,bb,21,0.1126961758731956,,
H,bb,22,0.11130298755110259,,
H,bb,23,0.11008392812046941,,
H,bb,24,0.1090087886248946,,
H,bb,25,0.108097836563232,,
H,bb,26,0.1071617460488345,,
H,bb,27,0.1064193873051021,,
H,bb,28,0.10596374156913513,,
H,bb,29,0.10522932856541024,,
H,bb,30,0.10428782087887373,,
H,bb,31,0.10306908598595334,,
H,bb,32,0.10150250675581217,,
H,bb,33,0.09971416510159999,,
H,bb,34,0.09780715759883742,,
H,bb,35,0.09585328511151733,,
H,bb,36,0.09388641098059819,,
H,bb,37,0.09192265990786644,,
H,bb,38,0.09004192294319786,,
H,bb,39,0.08827309776671406,,
H,bb,40,0.08661355750633634,,
H,hbp,20,0.020740357047168614,,
H,hbp,21,0.01984864189632918,,
H,hbp,22,0.01902327834499395,,
H,hbp,23,0.018265895458457457,,
H,hbp,24,0.017605969557636506,,
H,hbp,25,0.01701246187794509,,
H,hbp,26,0.016500353744314803,,
H,hbp,27,0.016045016183419317,,
H,hbp,28,0.01566979617223283,,
H,hbp,29,0.015338494604036312,,
H,hbp,30,0.01506276844440691,,
H,hbp,31,0.014810399431172275,,
H,hbp,32,0.014553660821559438,,
H,hbp,33,0.014281505276393876,,
H,hbp,34,0.014001699670125878,,
H,hbp,35,0.01369832334116504,,
H,hbp,36,0.013379080402265757,,
H,hbp,37,0.013069458549722785,,
H,hbp,38,0.012772558888740359,,
H,hbp,39,0.01248087612556042,,
H,hbp,40,0.012194071245203091,,
H,hr,20,0.04162429979955175,,
H,hr,21,0.043254683983875615,,
H,hr,22,0.04488429176660518,,
H,hr,23,0.046291199332093594,,
H,hr,24,0.04713786579705023,,
H,hr,25,0.047047453908207186,,
H,hr,26,0.04620108496658683,,
H,hr,27,0.04484125975902826,,
H,hr,28,0.04343021502314682,,
H,hr,29,0.0421307846392702,,
H,hr,30,0.04099695281135276,,
H,hr,31,0.03946438280097473,,
H,hr,32,0.0375389163983739,,
H,hr,33,0.035374852277070795,,
H,hr,34,0.03332422489615475,,
H,hr,35,0.031309202732058304,,
H,hr,36,0.02923334800562226,,
H,hr,37,0.027124522406640504,,
H,hr,38,0.02499998158625935,,
H,hr,39,0.02292157441271861,,
H,hr,40,0.020992260508556293,,
H,hit_bip,20,0.28960086773345745,,
H,hit_bip,21,0.29081083268036373,,
H,hit_bip,22,0.29214742281942613,,
H,hit_bip,23,0.29282877408457153,,
H,hit_bip,24,0.29318213283534605,,
H,hit_bip,25,0.29278374008131874,,
H,hit_bip,26,0.29176617807454397,,
H,hit_bip,27,0.2901688701341639,,
H,hit_bip,28,0.2876721706822406,,
H,hit_bip,29,0.2851088153064673,,
H,hit_bip,30,0.2823829001846556,,
H,hit_bip,31,0.27903792822369994,,
H,hit_bip,32,0.2750607718185378,,
H,hit_bip,33,0.2714138096773479,,
H,hit_bip,34,0.26800189266043123,,
H,hit_bip,35,0.2640923291274032,,
H,hit_bip,36,0.25980278374118815,,
H,hit_bip,37,0.2550794929871835,,
H,hit_bip,38,0.2501618124472338,,
H,hit_bip,39,0.24524834838531612,,
H,hit_bip,40,0.24039380608052915,,
H,xbh,20,0.23814081586426913,,
H,xbh,21,0.23994407114727606,,
H,xbh,22,0.24157632973692605,,
H,xbh,23,0.2427615837698676,,
H,xbh,24,0.2434531097865246,,
H,xbh,25,0.2435728216542528,,
H,xbh,26,0.24349165039893964,,
H,xbh,27,0.24268451152862797,,
H,xbh,28,0.241225355432018,,
H,xbh,29,0.2400157071922972,,
H,xbh,30,0.23850095560172113,,
H,xbh,31,0.23645868338595735,,
H,xbh,32,0.23389236556395912,,
H,xbh,33,0.2309167517243411,,
H,xbh,34,0.2278791059846609,,
H,xbh,35,0.22494158086618965,,
H,xbh,36,0.22231448462608555,,
H,xbh,37,0.21982712098236215,,
H,xbh,38,0.2170706687701719,,
H,xbh,39,0.21405176035325624,,
H,xbh,40,0.21089053201540806,,
H,triple,20,0.10246354520507679,,
H,triple,21,0.09948704041917253,,
H,triple,22,0.09675349030569916,,
H,triple,23,0.0937215666149624,,
H,triple,24,0.09029778446385463,,
H,triple,25,0.08691170179648454,,
H,triple,26,0.08316510884530985,,
H,triple,27,0.07914733858569033,,
H,triple,28,0.07442082390656046,,
H,triple,29,0.06882995581525982,,
H,triple,30,0.06265436287836201,,
H,triple,31,0.05637415637712312,,
H,triple,32,0.050373426589501266,,
H,triple,33,0.044703463924549394,,
H,triple,34,0.03930092441471331,,
H,triple,35,0.03421025810583596,,
H,triple,36,0.02955688770346483,,
H,triple,37,0.025426576359155677,,
H,triple,38,0.021815416364055363,,
H,triple,39,0.018691026787407135,,
H,triple,40,0.015994893477278553,,
H,k_pct,20,0.24584291084023524,,
H,k_pct,21,0.24368234890340948,,
H,k_pct,22,0.2420520617594665,,
H,k_pct,23,0.23891108278906045,,
H,k_pct,24,0.23710061782069825,,
H,k_pct,25,0.23189587014132979,,
H,k_pct,26,0.2279496740218814,,
H,k_pct,27,0.22436479571920787,,
H,k_pct,28,0.2254919807645717,,
H,k_pct,29,0.22774206026332008,,
H,k_pct,30,0.23084686841492422,,
H,k_pct,31,0.23454796701015046,,
H,k_pct,32,0.23901865080193865,,
H,k_pct,33,0.24721904877200768,,
H,k_pct,34,0.25671334430279835,,
H,k_pct,35,0.26643476610039085,,
H,k_pct,36,0.27711991458146507,,
H,k_pct,37,0.28812606985863004,,
H,k_pct,38,0.29986797081439687,,
H,k_pct,39,0.3125666914872141,,
H,k_pct,40,0.32628848345075817,,
H,bb_pct,20,0.08613504641005178,,
H,bb_pct,21,0.08523410702398355,,
H,bb_pct,22,0.08436186993436998,,
H,bb_pct,23,0.08378365765553496,,
H,bb_pct,24,0.0831627374940462,,
H,bb_pct,25,0.08303039469300606,,
H,bb_pct,26,0.08273426096938703,,
H,bb_pct,27,0.0825426232118296,,
H,bb_pct,28,0.08206976759348567,,
H,bb_pct,29,0.08126418447779787,,
H,bb_pct,30,0.08021330401516918,,
H,bb_pct,31,0.0788944414063536,,
H,bb_pct,32,0.07724151453802329,,
H,bb_pct,33,0.07506292405608751,,
H,bb_pct,34,0.072698755074889,,
H,bb_pct,35,0.07031463751287613,,
H,bb_pct,36,0.06786861678929448,,
H,bb_pct,37,0.06543734517766142,,
H,bb_pct,38,0.06304123422199484,,
H,bb_pct,39,0.060681867650444865,,
H,bb_pct,40,0.058352551181318824,,
H,hr_pct,20,0.027229244453647636,,
H,hr_pct,21,0.02845135004148423,,
H,hr_pct,22,0.029658294596700427,,
H,hr_pct,23,0.030780577175897387,,
H,hr_pct,24,0.03147721597058896,,
H,hr_pct,25,0.03168264674581187,,
