target,role,tier,stat,n,rmse,mae,cov50,cov80
2021,H,last,babip,327,0.07327186337681689,0.05160850599130562,,
2022,H,last,babip,321,0.04668510182527185,0.03538451510822168,,
2023,H,last,babip,330,0.06717377252900622,0.03790546749105228,,
2024,H,last,babip,344,0.054702869522509905,0.038393677450003896,,
2021,H,last,bb_pct,327,0.035440709357380654,0.026195954552643792,,
2022,H,last,bb_pct,321,0.027254959964141654,0.02038404909094616,,
2023,H,last,bb_pct,330,0.024993907854178765,0.018151170223765972,,
2024,H,last,bb_pct,344,0.02583227806235341,0.018695164072916923,,
2021,H,last,hr_pct,327,0.020203536200718197,0.015613727961011254,,
2022,H,last,hr_pct,321,0.016623105915915176,0.012607977672909073,,
2023,H,last,hr_pct,330,0.01571962287809312,0.01169256202196321,,
2024,H,last,hr_pct,344,0.015063464480934236,0.011305076446693164,,
2021,H,last,k_pct,327,0.065151880499427,0.04456133130351871,,
2022,H,last,k_pct,321,0.03890924724770642,0.03020455884724418,,
2023,H,last,k_pct,330,0.04335521787268155,0.03111010486199646,,
2024,H,last,k_pct,344,0.03998134621866948,0.029485071329920745,,
2021,H,last,woba,327,0.06590106919472467,0.046641553739926,,
2022,H,last,woba,321,0.045495994739345874,0.03551688771021904,,
2023,H,last,woba,330,0.04879785347255272,0.0340111651362674,,
2024,H,last,woba,344,0.04778708328979965,0.03537255783552959,,
2021,H,league,babip,345,0.03652803500087067,0.029526322068864023,,
2022,H,league,babip,322,0.03575093032788596,0.028698915474455855,,
2023,H,league,babip,335,0.03529209694677442,0.027052886011340642,,
2024,H,league,babip,348,0.033692251382601575,0.02663496749960656,,
2021,H,league,bb_pct,345,0.029102425244834952,0.022640399637706934,,
2022,H,league,bb_pct,322,0.027769195690297857,0.02221038644881963,,
2023,H,league,bb_pct,335,0.02947228895431791,0.023734768590698174,,
2024,H,league,bb_pct,348,0.026505010529786578,0.021260846449261003,,
2021,H,league,hr_pct,345,0.01691606542575163,0.013998997828870026,,
2022,H,league,hr_pct,322,0.016131258674050693,0.013248554809603116,,
2023,H,league,hr_pct,335,0.015468317196586255,0.012008965655241283,,
2024,H,league,hr_pct,348,0.014183631344299228,0.011075406908820567,,
2021,H,league,k_pct,345,0.05823137619661732,0.047078085785556445,,
2022,H,league,k_pct,322,0.06081874950821134,0.04964676317648846,,
2023,H,league,k_pct,335,0.05935084492684932,0.0471109332119346,,
2024,H,league,k_pct,348,0.05866617225188668,0.047705320301646315,,
2021,H,league,woba,345,0.03752884571413465,0.029433474672393774,,
2022,H,league,woba,322,0.03767865866488093,0.02967738516145288,,
2023,H,league,woba,335,0.03619746941213975,0.02817668650057622,,
2024,H,league,woba,348,0.037158045985774026,0.02816289943323108,,
2021,H,marcel,babip,345,0.03366899553416589,0.026395843862728953,,
2022,H,marcel,babip,322,0.03265498310675324,0.02557218664896801,,
2023,H,marcel,babip,335,0.03256094761684383,0.025972361427869774,,
2024,H,marcel,babip,348,0.0337753860856787,0.02652804009992775,,
2021,H,marcel,bb_pct,345,0.020284066899383356,0.015701104837984328,,
2022,H,marcel,bb_pct,322,0.02018504932809818,0.01644476269339646,,
2023,H,marcel,bb_pct,335,0.020132438671805943,0.015332567519777168,,
2024,H,marcel,bb_pct,348,0.018969146416665823,0.015245419536209587,,
2021,H,marcel,hr_pct,345,0.013288093488660762,0.010641466414363558,,
2022,H,marcel,hr_pct,322,0.01352145461833638,0.01119781048927585,,
2023,H,marcel,hr_pct,335,0.011873496152533964,0.009393147282463755,,
2024,H,marcel,hr_pct,348,0.010973828816105442,0.008791149738994098,,
2021,H,marcel,k_pct,345,0.03697165926827796,0.02927437710497669,,
2022,H,marcel,k_pct,322,0.03664542486954951,0.029091291558286658,,
2023,H,marcel,k_pct,335,0.0368814569486586,0.029228679119460824,,
2024,H,marcel,k_pct,348,0.03487869610764285,0.027196376184138393,,
2021,H,marcel,woba,345,0.03360062417354311,0.026129208621197934,,
2022,H,marcel,woba,322,0.03581541823508592,0.028712756811033045,,
2023,H,marcel,woba,335,0.03038203557121097,0.02441507049919711,,
2024,H,marcel,woba,348,0.03371639585368395,0.026712279527071073,,
2021,H,tier2,babip,345,0.03212248568136485,0.02515355171229456,0.5159420289855072,0.8202898550724638
2022,H,tier2,babip,322,0.031006111625037535,0.023974267279793647,0.5403726708074534,0.8229813664596274
2023,H,tier2,babip,335,0.03245119369310014,0.02519944526322488,0.48955223880597015,0.7940298507462686
2024,H,tier2,babip,348,0.03150287986915993,0.024602914520804188,0.48563218390804597,0.7787356321839081
2021,H,tier2,bb_pct,345,0.02085231681355703,0.01593974382203566,0.5594202898550724,0.8231884057971014
2022,H,tier2,bb_pct,322,0.02132832255787826,0.016768147439720403,0.45652173913043476,0.7670807453416149
2023,H,tier2,bb_pct,335,0.019943888095133245,0.01569204442851551,0.5402985074626866,0.808955223880597
2024,H,tier2,bb_pct,348,0.019351063683891872,0.015521545687575949,0.5201149425287356,0.7672413793103449
2021,H,tier2,hr_pct,345,0.015325485209737496,0.012559090290047842,0.4463768115942029,0.7304347826086957
2022,H,tier2,hr_pct,322,0.018948859838441433,0.015880305955840054,0.3136645962732919,0.5807453416149069
2023,H,tier2,hr_pct,335,0.014425622218115091,0.01140182277339171,0.4597014925373134,0.7492537313432835
2024,H,tier2,hr_pct,348,0.013170702096280972,0.0105213225904834,0.47413793103448276,0.7672413793103449
2021,H,tier2,k_pct,345,0.03634187906473132,0.028548908461918224,0.5478260869565217,0.8405797101449275
2022,H,tier2,k_pct,322,0.034619247842294164,0.02765110752840287,0.4968944099378882,0.8167701863354038
2023,H,tier2,k_pct,335,0.03496901489433198,0.027885493121353223,0.4955223880597015,0.8417910447761194
2024,H,tier2,k_pct,348,0.03398573220347412,0.026127663523938006,0.5574712643678161,0.8333333333333334
2021,H,tier2,woba,345,0.03575174724115396,0.028020449594041444,0.4811594202898551,0.7768115942028986
2022,H,tier2,woba,322,0.04148745915384436,0.0337285775452952,0.3944099378881988,0.7018633540372671
2023,H,tier2,woba,335,0.0333274268868029,0.026291008067667185,0.4925373134328358,0.8149253731343283
2024,H,tier2,woba,348,0.03498681627782543,0.02793606197305415,0.45977011494252873,0.7442528735632183
2021,H,tier3,babip,345,0.03327247651823554,0.02604832355955844,0.5217391304347826,0.8434782608695652
2022,H,tier3,babip,322,0.03267192543567388,0.02493861481147379,0.5434782608695652,0.8291925465838509
2023,H,tier3,babip,335,0.03319134216515193,0.02561058707974916,0.5313432835820896,0.808955223880597
2024,H,tier3,babip,348,0.03176500691398736,0.02474463643509143,0.5086206896551724,0.8132183908045977
2021,H,tier3,bb_pct,345,0.02085231681355703,0.01593974382203566,0.5565217391304348,0.8260869565217391
2022,H,tier3,bb_pct,322,0.02132832255787826,0.016768147439720403,0.45652173913043476,0.7701863354037267
2023,H,tier3,bb_pct,335,0.019943888095133245,0.01569204442851551,0.5223880597014925,0.808955223880597
2024,H,tier3,bb_pct,348,0.019351063683891872,0.015521545687575949,0.5201149425287356,0.7758620689655172
2021,H,tier3,hr_pct,345,0.01677513848001812,0.01390148888485387,0.4405797101449275,0.7565217391304347
2022,H,tier3,hr_pct,322,0.021126196836448494,0.017494392354118815,0.2950310559006211,0.5838509316770186
2023,H,tier3,hr_pct,335,0.015783507986412627,0.012555772788028129,0.4537313432835821,0.7373134328358208
2024,H,tier3,hr_pct,348,0.014874127663310614,0.01173685291080803,0.4454022988505747,0.75
2021,H,tier3,k_pct,345,0.03634187906473132,0.028548908461918224,0.5594202898550724,0.8318840579710145
2022,H,tier3,k_pct,322,0.034619247842294164,0.02765110752840287,0.5,0.8012422360248447
2023,H,tier3,k_pct,335,0.03496901489433198,0.027885493121353223,0.5044776119402985,0.8388059701492537
2024,H,tier3,k_pct,348,0.03398573220347412,0.026127663523938006,0.5545977011494253,0.8247126436781609
2021,H,tier3,woba,345,0.038187705946242816,0.030521434403460206,0.5014492753623189,0.8057971014492754
2022,H,tier3,woba,322,0.047405328146424355,0.03871751432407722,0.3944099378881988,0.6987577639751553
2023,H,tier3,woba,335,0.036178491369104816,0.029104570735006267,0.46567164179104475,0.8298507462686567
2024,H,tier3,woba,348,0.038237467077768324,0.029875454553996327,0.45689655172413796,0.7557471264367817
2021,P,last,babip,313,0.08397349934195016,0.056078564975761386,,
2022,P,last,babip,317,0.0587217273227314,0.04097069856397691,,
2023,P,last,babip,326,0.05048789774283984,0.03833231422974632,,
2024,P,last,babip,318,0.05214489371478077,0.037322544603795416,,
2021,P,last,bb_pct,313,0.047539469114999816,0.028902579483655162,,
2022,P,last,bb_pct,317,0.03342533843706853,0.020327603424856868,,
