role,stage,venue_id,venue_name,phi_mean,phi_sd,park_sd_mean
H,hit_bip,,,,,0.05841305324373642
H,hr,7.0,Kauffman Stadium,-0.7538975972634115,,0.3505200916851049
H,hr,3309.0,Nationals Park,-0.6267258289211226,,0.3505200916851049
H,hr,2394.0,Comerica Park,-0.5612452006699074,,0.3505200916851049
H,hr,2602.0,Great American Ball Park,-0.15941093234072226,,0.3505200916851049
H,hr,22.0,UNIQLO Field at Dodger Stadium,-0.1351711362927804,,0.3505200916851049
H,hr,3313.0,Yankee Stadium,0.027969314938391106,,0.3505200916851049
H,triple,,,,,0.2567205445081275
H,xbh,,,,,0.0917606722824061
P,hit_bip,,,,,0.08319882614912406
P,hr,2395.0,Oracle Park,-0.23453085911750676,,0.1202692428289787
P,hr,2889.0,Busch Stadium,-0.22373698761980573,,0.1202692428289787
P,hr,31.0,PNC Park,-0.09528118729102275,,0.1202692428289787
P,hr,2529.0,Sutter Health Park,0.15157234953386295,,0.1202692428289787
P,hr,3309.0,Nationals Park,0.19636337654184877,,0.1202692428289787
P,hr,2602.0,Great American Ball Park,0.19656500076755304,,0.1202692428289787
