role,stage,target,tier,tau_mean,sigma_pop_mean,park_sd_mean,lam_mean,sigma_age_mean,tau_sd,sigma_pop_sd,lam_sd,sigma_age_sd,park_sd_sd,ess_bulk_min,max_rhat,divergences
H,bb,2021,tier2,0.058706000140272344,0.3647951243691582,,0.007596475815384614,0.010036371256546219,0.017116374450100547,0.01091481192575391,0.016009946086712672,0.006621662371300606,,18.088696709204882,1.1118,6
H,bb,2022,tier2,0.052269805944573124,0.3548234383932258,,0.010101217539751522,0.005220980810243867,0.01726811809952954,0.011321461910413244,0.014279278308651036,0.00460392056642143,,34.95005755122594,1.0276,4
H,bb,2023,tier2,0.05344014849498486,0.3494009398911615,,0.0037739853630717143,0.006771593781007029,0.01697719152624132,0.010625924818026019,0.013887547408183964,0.004784388762939878,,28.671860217907554,1.0547,5
H,bb,2024,tier2,0.0783748129784745,0.34768677623360306,,-0.004148660752882881,0.007617055292428684,0.011569477495255116,0.010849297408691066,0.015098066141092086,0.0055282747277783815,,63.97003410161626,1.0412,2
H,bb,2025,tier2,0.08842469634359312,0.3392480170780825,,-0.006578590053129247,0.0060270844567032284,0.010685043802549457,0.01015942410313079,0.014121178206548821,0.00481190936909118,,85.642026892834,1.0257,3
H,bb,2026,marcel,0.08912721640725081,0.3348734508163265,,,,,,,,,,1.0186,3
H,hbp,2021,tier2,0.15403288059627157,0.5837394772458919,,-0.08851988031405396,0.00923976622092749,0.02605067425423022,0.02324469407875297,0.027666091478508886,0.0075972508007136515,,46.40784328058284,1.027,0
H,hbp,2022,tier2,0.14907364008157695,0.6015702197975304,,-0.09497462857924069,0.009462831376416361,0.025777272870091246,0.022115547015445044,0.026209933925343862,0.008365499063823695,,59.810318611823476,1.0417,6
H,hbp,2023,tier2,0.15138793354545005,0.5830849140256463,,-0.10497516497557635,0.008439515437091243,0.02159999312261481,0.02143957452423083,0.02812006062544573,0.00719970086551015,,37.13149383744544,1.0234,0
H,hbp,2024,tier2,0.13702365636974367,0.587085203259114,,-0.06414619006540546,0.007182014451529874,0.02700572000232857,0.02088801715782479,0.025926731859427184,0.006310826747814723,,38.292491992732444,1.0594,1
H,hbp,2025,tier2,0.07940761188971453,0.5920969833651006,,-0.07919043731059369,0.013682282120897728,0.03398139814949624,0.020957514436671577,0.02759106140221014,0.007819082439093536,,22.395740769515154,1.0997,11
H,hbp,2026,marcel,0.08308201443197158,0.5613058194011287,,,,,,,,,,1.0801,1
H,hit_bip,2021,tier2,0.020381053153280867,0.09822675359672209,0.051867622498769875,0.01880675887266397,0.008433433548661681,0.008956308534880497,0.004977310082651106,0.005802313524224893,0.004858630791121644,0.012685340485058687,33.83299682062784,1.0254,5
H,hit_bip,2022,tier2,0.030101623634115802,0.09979150937513512,0.04919345064035299,0.014286349804059252,0.007997296804792449,0.007153817562128522,0.00545182946326541,0.005988635221088777,0.004000342399754894,0.01361146704543473,50.703922296929555,1.0162,3
H,hit_bip,2023,tier2,0.027609865576309553,0.10454863543097008,0.054197134487184245,0.01794557042273682,0.007443585969082259,0.00655633280938178,0.005628635074449476,0.005792182089184974,0.004016810951854879,0.012188041310338411,40.037504770445835,1.0707,11
H,hit_bip,2024,tier2,0.011313301716793183,0.10683381494110682,0.05450385619649853,0.014404238953074413,0.0059542931162463375,0.007624923249088438,0.0049360356078571145,0.006126572843222156,0.0032955961214193746,0.012254834866828502,40.783881363091524,1.03,6
H,hit_bip,2025,tier2,0.010041443631379293,0.10229287374763947,0.05761667830283848,0.015389380633622824,0.007054170516362349,0.006338754033102911,0.005075710372302935,0.005937352271936438,0.003543911273428809,0.013434900732958095,61.47028018786705,1.0383,1
H,hit_bip,2026,marcel,0.010527048172214988,0.09116690036701974,0.05829460537577859,,,,,,,,,1.0444,6
H,hr,2021,tier2,0.07162719432783683,0.522901658519939,0.4051625896131571,0.13859410792989665,0.02095772578046971,0.023336490053086724,0.017679386783863264,0.0246169885380498,0.0065846992616309255,0.0439793588753471,33.64602227420655,1.0934,1
H,hr,2022,tier2,0.09930803822117085,0.504769471967137,0.37873331248736253,0.11342158004960319,0.017566502775456315,0.023318383454974393,0.017543863539595396,0.023354746973231335,0.007065752385624293,0.04257322796899609,43.84182842287349,1.0138,1
H,hr,2023,tier2,0.10545762679232233,0.481066068238484,0.3756534774764603,0.12370442775845962,0.01207629197632728,0.023630134631030534,0.016626622639580344,0.022758599955136495,0.006382855954940185,0.04220409224912867,20.5128243042287,1.083,5
H,hr,2024,tier2,0.1356608476227855,0.46188170756364766,0.34956031439530205,0.0978670493979354,0.013427815696540803,0.016330265922313774,0.016494615538337233,0.0249289994283861,0.0066172652538329865,0.044593124078276127,71.70756750560582,1.0409,2
H,hr,2025,tier2,0.13420038389016906,0.4575795732274443,0.3560192608371266,0.10152765182895276,0.01436472103899575,0.016406674448217005,0.01707552287139795,0.023443477989615914,0.006675029376661065,0.0426069921172152,78.58091146681217,1.0121,0
H,hr,2026,marcel,0.09549901333771114,0.4730113175799924,0.35766973108340405,,,,,,,,,1.059,2
H,k,2021,tier2,0.1025288225765147,0.3655822702019132,,-0.10574547041921528,0.010766844249814736,0.007352711375326007,0.009819866437605983,0.013776824606010717,0.003971257826049068,,51.48994688907813,1.0381,0
H,k,2022,tier2,0.09834873861768977,0.3682952925441512,,-0.11102566587701777,0.013753997127232251,0.0070861874588689575,0.010188705358311033,0.013058506517565719,0.004942023688303484,,20.414404862245537,1.1065,1
H,k,2023,tier2,0.09257434420238968,0.37318693570200046,,-0.11602590581408581,0.014140403969249359,0.0073186808890789365,0.010562980059472949,0.012973174215186402,0.0044347016382028535,,77.99514709076779,1.0333,1
H,k,2024,tier2,0.09526475637832679,0.36157552401031545,,-0.10422852228231219,0.016816419476400554,0.006978822257577407,0.009670782275910774,0.012919168505061834,0.005196192780140104,,59.638206741634335,1.0447,1
H,k,2025,tier2,0.0880093896553608,0.3567945108385588,,-0.11669383504748501,0.01744215786714859,0.00774502437680004,0.009572614858479687,0.013458449864082542,0.005040273713570895,,42.496218744759844,1.0537,2
H,k,2026,marcel,0.10433152613134868,0.35872868617941617,,,,,,,,,,1.1603,3
H,triple,2021,tier2,0.11094991768473492,0.6190857427482543,0.31619102625453105,-0.07949160518254805,0.022222175478893443,0.053886481055453544,0.031795328560393035,0.036122132609550425,0.010382471997118534,0.05326597979762851,28.277991481057377,1.0537,0
H,triple,2022,tier2,0.12944343633409722,0.5823401552354052,0.33477111040136764,-0.07703987775997552,0.02078089402581883,0.05045578546007389,0.03287150125933706,0.03577676712785171,0.009562240167485109,0.04790759652428852,27.35086125723993,1.0316,0
H,triple,2023,tier2,0.0759574965584317,0.5947820902090238,0.30882186430508385,-0.09398948591998393,0.02489470486984299,0.04748501711541175,0.032595483335923554,0.033851076858018976,0.010750032860745797,0.04924094337824658,14.144484764166483,1.1189,0
H,triple,2024,tier2,0.07551294370642316,0.5851965402730699,0.27578534085612305,-0.09967619532487924,0.021344053911406764,0.049118325461128806,0.03157673882027353,0.035143537164748585,0.009949209745256794,0.05193195829964898,29.8233396550733,1.0476,0
H,triple,2025,tier2,0.0529230224944143,0.596003588929494,0.22707579305364775,-0.10478578385209096,0.016274514108653187,0.03815355602173582,0.029805200328178304,0.037773698533440085,0.010289900203312996,0.05862116894741882,33.47634775501572,1.0168,0
H,triple,2026,marcel,0.07936823218241472,0.5653415941803664,0.2500488389752406,,,,,,,,,1.1383,0
H,xbh,2021,tier2,0.02418765362589507,0.16154159378190242,0.08521324449137244,0.025910541527097805,0.01185896117961387,0.01629201913807702,0.009035471274193381,0.009953577475838464,0.0049541804962269405,0.022681762432057273,44.37375222947496,1.0326,2
H,xbh,2022,tier2,0.022583972644742607,0.15555762414381052,0.10187435808912991,0.021909859350705302,0.01321704709782873,0.014558245131653847,0.00946972236652011,0.00997363352045505,0.005776184431178371,0.019771239203612977,68.08095157960874,1.0372,0
H,xbh,2023,tier2,0.02607136437352957,0.15976688861655122,0.09723283113415267,0.023399694807594292,0.007545572385252277,0.014624378250313257,0.009637769538093073,0.01054354854115276,0.005130883976744106,0.025156899043634686,46.59910209828775,1.0415,0
H,xbh,2024,tier2,0.021035530329370437,0.15593954219065304,0.08121302665123802,0.021146859391768174,0.003850755610479342,0.013117374157650954,0.009644133004399745,0.010284763434046457,0.0036098811516195955,0.03096704915766618,38.189804306434176,1.0688,2
H,xbh,2025,tier2,0.025606827791998292,0.1525929822166039,0.08944703116765435,0.017581995921201007,0.00594237906136587,0.01689062693500454,0.009986587872650386,0.010182362969523254,0.004751434057485527,0.021805570109564323,7.561370752638137,1.2254,3
H,xbh,2026,marcel,0.019822276640650963,0.16046339875126212,0.09183140216743753,,,,,,,,,1.0418,1
P,bb,2021,tier2,0.07518878343965539,0.29274057640412215,,-0.07718265344216564,0.007568033042252617,0.012041881301365036,0.00904492496983281,0.010912172878784814,0.00533217165484527,,22.23537534790011,1.1122,3
P,bb,2022,tier2,0.08743877125026528,0.2897929521476151,,-0.06872410966153335,0.008231589538912672,0.012643664089998709,0.009083442430768517,0.010305142972345664,0.004836240019801621,,58.03504631132593,1.0623,4
P,bb,2023,tier2,0.10391676142704166,0.29589781406835075,,-0.07560101643971956,0.0060859180627053314,0.01040160875602286,0.008623778183911392,0.010643937913313214,0.0046556001683209286,,39.42459062493196,1.0215,3
P,bb,2024,tier2,0.09237440219579714,0.2963948806164534,,-0.08147818767078996,0.004101979984825697,0.010220912910533972,0.009051667532551209,0.010591038345405812,0.0035716769570014717,,78.7631176996118,1.017,3
P,bb,2025,tier2,0.08329494177669858,0.29535992203245826,,-0.08415440421210438,0.00568835625991441,0.013390687437751268,0.008207087275412044,0.010669162159943563,0.005091014707894058,,50.64952354458904,1.0343,37
P,bb,2026,marcel,0.06228166475651615,0.29007007585022315,,,,,,,,,,1.0419,69
P,hbp,2021,tier2,0.07399382992267273,0.38261247188106107,,-0.07672661827010097,0.006808463583726429,0.033809529130151346,0.01889925233485504,0.018079534410709235,0.006354531444589658,,5.559357363688534,1.2809,0
P,hbp,2022,tier2,0.12684915864795368,0.39569524447996285,,-0.08069659700203752,0.0071963711518853715,0.025043698345380176,0.01818889132400235,0.018249563497163005,0.006190584178328333,,33.32753500391669,1.0636,0
P,hbp,2023,tier2,0.11803856558935344,0.4157762517342142,,-0.08398529149142775,0.007696380824306244,0.027121458878177407,0.018757226693036904,0.01779971898682163,0.006400985591430227,,21.005262247264078,1.0959,0
P,hbp,2024,tier2,0.05184900122755481,0.43277368005561245,,-0.11084645373097599,0.007537883531700645,0.030830221298600812,0.018954669891603104,0.017706882034217664,0.007076920904857059,,10.845206703601475,1.1497,0
P,hbp,2025,tier2,0.09412638995958872,0.43641647249934906,,-0.10358605181890089,0.007338777752190925,0.03541756383491548,0.017548446135450025,0.017649294800309495,0.006344754175619934,,28.089365189535002,1.047,3
P,hbp,2026,marcel,0.0846080186326799,0.4499133963746602,,,,,,,,,,1.1122,0
P,hit_bip,2021,tier2,0.010904583504043669,0.0416397828370479,0.0654985585230704,-0.012851693793171705,0.0032696159540792896,0.006495855469254009,0.006118163628953061,0.0037424261359453852,0.002769368771821033,0.011328478263603805,98.8838961112308,1.0262,2
P,hit_bip,2022,tier2,0.009997800673971614,0.03629879450973108,0.0692528286584086,-0.010718352155486098,0.003783011949118549,0.00731815934474418,0.007422904543189359,0.0037283173576252355,0.0034840622504639343,0.01179782138396857,39.26777202885361,1.0452,2
P,hit_bip,2023,tier2,0.013468112006493841,0.035652149682837475,0.08126168944168163,-0.010117363779771708,0.0028175480958350786,0.007478966618264899,0.007052385712581341,0.0038265920756009185,0.0022926672425016303,0.012952440854689851,35.763665111588686,1.0825,2
P,hit_bip,2024,tier2,0.011280912288785232,0.04303294810593647,0.07963790701867816,-0.007100706023110575,0.0016667045674793894,0.007072079107669011,0.007408580862914104,0.0038987714886236976,0.0016927087054881653,0.012489873634992809,16.82320198341278,1.1117,0
P,hit_bip,2025,tier2,0.00815326493434259,0.049379865382100235,0.08559942452997868,-0.006357801416793435,0.0029927942397197605,0.006209823463413345,0.006475994651061766,0.004038994060528719,0.002471960105260381,0.012336335061345549,50.143938366986504,1.0565,1
P,hit_bip,2026,marcel,0.023450729783920474,0.046746355337930555,0.08411744757863375,,,,,,,,,1.0375,3
P,hr,2021,tier2,0.04554869980727157,0.18391231317065718,0.13264756169619982,-0.029418470156304413,0.013237100854658432,0.01928507192557834,0.011652666493530644,0.00964304620219809,0.006954863696720752,0.023921349974044957,49.80642210423409,1.0743,0
P,hr,2022,tier2,0.03471461163807895,0.19286187866125012,0.1361122989947412,-0.010870003528318684,0.00854374048609594,0.017740184452733745,0.011227305526684588,0.009991726422921676,0.00558586598884531,0.022375376288816296,41.214010041616355,1.0484,0
P,hr,2023,tier2,0.03820221766268322,0.17844532450095943,0.12871448340687464,-0.015792419706049807,0.007225836552023311,0.019501217751104544,0.011004450899576414,0.01013860256602027,0.0054878001397278275,0.023595446366487412,40.64069026039555,1.0491,2
P,hr,2024,tier2,0.034507809745531075,0.1664077753784675,0.1165498595482681,-0.022684373146312175,0.013328159952576213,0.02051537760181647,0.011448373933880809,0.010406845667029409,0.008559542893587863,0.022276499747396233,37.108682616415535,1.0529,27
P,hr,2025,tier2,0.03392959582526578,0.16671144166513321,0.09897441768633232,-0.015839672054573883,0.017586194134465466,0.025509085234367956,0.01176186546323968,0.009309263631466341,0.007151312596486865,0.023743550347974412,5.784248930947406,1.2664,1
P,hr,2026,marcel,0.03883004731883135,0.17061064136846452,0.12207439217311801,,,,,,,,,1.0758,0
P,k,2021,tier2,0.10377643702144553,0.26564674800752963,,0.01806358763323435,0.015063633290792779,0.00864979295349437,0.007674751959964477,0.009018956743529162,0.005682078227001131,,44.5463341735823,1.0336,6
P,k,2022,tier2,0.09856353324374013,0.26477734543358206,,0.03386776137363603,0.01601938444787379,0.007188439759423001,0.0079606129912201,0.009110419676098314,0.005213984509594889,,93.40757411955028,1.0144,0
P,k,2023,tier2,0.09743489928819324,0.2632218017801517,,0.030135053022267592,0.014246664824544042,0.007611613284728159,0.007495647591671684,0.009239411319450642,0.004925055752812419,,22.91143324765065,1.0778,0
P,k,2024,tier2,0.09777258832502905,0.25757676374362415,,0.0214822766568985,0.013955828683576236,0.006643332536377124,0.007374323587854275,0.008900642874632493,0.005317430223082451,,53.822955238913245,1.0376,2
