role,target,age_bucket,pt_bucket,n,mean_pt,mean_actual,mean_error,rmse,share_zero_actual
H,2025,25-27,150-400,65,360.5276923076923,279.24615384615385,81.28153846153845,216.28149712816395,0.09230769230769231
H,2025,25-27,<150,97,230.43298969072166,90.03092783505154,140.4020618556701,191.14661453298797,0.32989690721649484
H,2025,25-27,>400,58,504.35,462.6034482758621,41.74655172413792,162.2062464250694,0.0
H,2025,28-30,150-400,58,368.6465517241379,234.86206896551724,133.7844827586207,219.32323610723904,0.1206896551724138
H,2025,28-30,<150,118,224.1008474576271,48.92372881355932,175.17711864406778,192.31036906742042,0.5254237288135594
H,2025,28-30,>400,60,527.4649999999999,441.95,85.51500000000001,205.10239840950993,0.0
H,2025,31-33,150-400,31,377.9290322580644,210.58064516129033,167.3483870967742,251.29905844271192,0.1935483870967742
H,2025,31-33,<150,59,228.27457627118642,35.32203389830509,192.95254237288134,221.5296904002115,0.7457627118644068
H,2025,31-33,>400,45,530.6044444444445,460.68888888888887,69.91555555555557,176.4877597266545,0.0
H,2025,<=24,150-400,18,315.1166666666667,398.3888888888889,-83.27222222222223,227.0761240445836,0.0
H,2025,<=24,<150,36,232.1305555555556,136.11111111111111,96.01944444444445,163.2092666554881,0.16666666666666666
H,2025,<=24,>400,21,519.447619047619,583.7142857142857,-64.26666666666667,117.71037094738692,0.0
H,2025,>=34,150-400,33,369.93636363636364,144.54545454545453,225.39090909090908,258.03849196066335,0.2727272727272727
H,2025,>=34,<150,64,227.79375000000002,10.421875,217.37187500000002,220.73148704931066,0.859375
H,2025,>=34,>400,21,529.9285714285714,414.9047619047619,115.02380952380952,224.6151152527363,0.14285714285714285
H,2025,ALL,ALL,784,339.828443877551,213.5829081632653,126.24553571428571,203.90484716266207,0.29336734693877553
P,2025,25-27,150-400,13,153.8025641025641,132.05128205128204,21.751282051282057,48.453947648618296,0.0
P,2025,25-27,<150,242,56.61088154269972,41.22865013774104,15.382231404958677,44.23590949336562,0.2809917355371901
P,2025,28-30,150-400,24,162.5388888888889,122.3611111111111,40.17777777777778,72.79550314255529,0.041666666666666664
P,2025,28-30,<150,300,47.86844444444444,27.562222222222225,20.30622222222222,39.00607170210337,0.42
P,2025,31-33,150-400,17,157.44901960784313,123.27450980392156,34.17450980392158,64.1617436359489,0.0
P,2025,31-33,<150,193,47.811571675302254,27.355785837651123,20.45578583765112,38.48887322485026,0.43005181347150256
P,2025,<=24,<150,48,66.50833333333333,39.826388888888886,26.681944444444444,48.67832480227268,0.1875
P,2025,>=34,150-400,17,162.91372549019607,136.921568627451,25.992156862745098,50.51838984388062,0.0
P,2025,>=34,<150,159,52.87861635220126,23.89098532494759,28.987631027253666,45.05253560412096,0.5031446540880503
P,2025,ALL,ALL,1013,59.46163211582757,37.8209937479434,21.640638367884172,43.574711648256425,0.36229022704837116
