tier,role,target,stat,age_bucket,pt_bucket,history_bucket,n,mean_error,rmse,cov80
marcel,H,2021,babip,25-27,150-400,1,1,0.02741897130485732,0.02741897130485732,
marcel,H,2021,babip,25-27,150-400,2,7,-0.00027639755275394966,0.03061325266700397,
marcel,H,2021,babip,25-27,150-400,3+,37,0.016181190542120548,0.03713120823117236,
marcel,H,2021,babip,25-27,<150,1,11,0.000780498478577603,0.04387239948040398,
marcel,H,2021,babip,25-27,<150,2,22,-0.0038130381675145586,0.03039676747050585,
marcel,H,2021,babip,25-27,<150,3+,25,0.0010704986013025629,0.026730038297945943,
marcel,H,2021,babip,28-30,150-400,1,1,-0.010740681524392892,0.010740681524392892,
marcel,H,2021,babip,28-30,150-400,2,2,0.07239234821152875,0.07239811044757954,
marcel,H,2021,babip,28-30,150-400,3+,55,0.006901500091553994,0.03201698739293287,
marcel,H,2021,babip,28-30,<150,1,3,-0.03728350682639447,0.042046890789500024,
marcel,H,2021,babip,28-30,<150,2,12,0.012291760706168128,0.04120971707573972,
marcel,H,2021,babip,28-30,<150,3+,37,0.0011534263657568345,0.03329027514215415,
marcel,H,2021,babip,31-33,150-400,2,3,0.013360901963773568,0.02772567685370466,
marcel,H,2021,babip,31-33,150-400,3+,41,0.013222544160436825,0.030387270539520436,
marcel,H,2021,babip,31-33,<150,1,1,-0.029291823138217543,0.029291823138217543,
marcel,H,2021,babip,31-33,<150,2,1,0.0031275177739854554,0.0031275177739854554,
marcel,H,2021,babip,31-33,<150,3+,21,0.005860857226189288,0.030785428397061096,
marcel,H,2021,babip,<=24,150-400,1,2,-0.02171948567352632,0.06156825595243033,
marcel,H,2021,babip,<=24,150-400,2,5,-0.007684442061480954,0.039092091576317586,
marcel,H,2021,babip,<=24,150-400,3+,6,0.01077982750491183,0.01935916076406982,
marcel,H,2021,babip,<=24,<150,1,12,0.002102296526704156,0.034721782396598636,
marcel,H,2021,babip,<=24,<150,2,9,0.016221341089460273,0.03230509788264236,
marcel,H,2021,babip,<=24,<150,3+,2,0.03112128617919928,0.03178677911013408,
marcel,H,2021,babip,>=34,150-400,3+,19,0.006466444951766148,0.029893094564865944,
marcel,H,2021,babip,>=34,<150,1,2,-0.05631419462146889,0.056995029791055744,
marcel,H,2021,babip,>=34,<150,2,4,-0.005692055439119896,0.03545637507912212,
marcel,H,2021,babip,>=34,<150,3+,4,0.037305709927184544,0.053316673177734294,
marcel,H,2022,babip,25-27,150-400,1,7,0.009783684982183936,0.03842699956542171,
marcel,H,2022,babip,25-27,150-400,2,8,0.022513842957462026,0.025304821327443803,
marcel,H,2022,babip,25-27,150-400,3+,23,0.01152432960608468,0.03373461900065824,
marcel,H,2022,babip,25-27,<150,1,9,0.031233828420900757,0.039450966663871254,
marcel,H,2022,babip,25-27,<150,2,3,-0.0038148975586294633,0.008511490877858695,
marcel,H,2022,babip,25-27,<150,3+,6,0.009460470910196245,0.0175918421252683,
marcel,H,2022,babip,25-27,>400,1,1,0.018470511799179523,0.018470511799179523,
marcel,H,2022,babip,25-27,>400,2,4,0.022664867757707607,0.026574820727111897,
marcel,H,2022,babip,25-27,>400,3+,40,0.014233283468681353,0.03231563717956318,
marcel,H,2022,babip,28-30,150-400,2,4,0.020074936717921252,0.03923041942865435,
marcel,H,2022,babip,28-30,150-400,3+,29,0.012282386901895839,0.034919514140397324,
marcel,H,2022,babip,28-30,<150,1,1,-0.01690883668942017,0.01690883668942017,
marcel,H,2022,babip,28-30,<150,2,2,-0.049997915684698614,0.07821668474997628,
marcel,H,2022,babip,28-30,<150,3+,5,-0.008707054906242812,0.011044607885229703,
marcel,H,2022,babip,28-30,>400,2,3,0.01109346879960011,0.018095883916557587,
marcel,H,2022,babip,28-30,>400,3+,52,0.0028832919268911503,0.03302845733835785,
marcel,H,2022,babip,31-33,150-400,2,2,0.02323128807493632,0.02557185267464526,
marcel,H,2022,babip,31-33,150-400,3+,22,0.012027991208671297,0.025503701794974475,
marcel,H,2022,babip,31-33,<150,1,2,-0.07462559445211642,0.0756173371080864,
marcel,H,2022,babip,31-33,<150,2,1,-0.009506697112525053,0.009506697112525053,
marcel,H,2022,babip,31-33,<150,3+,1,-0.010469309790251458,0.010469309790251458,
marcel,H,2022,babip,31-33,>400,2,2,0.00814416836153004,0.017979203049029793,
