role,stage_a,stage_b,corr,n_players
H,k,k,1.0,951
H,k,bb,0.33034752123349864,951
H,k,hbp,0.1383269981546497,951
H,k,hr,0.4202769058848878,951
H,k,hit_bip,0.0645952921123893,951
H,k,xbh,0.23621008230643015,951
H,k,triple,0.035138382049137204,951
H,bb,k,0.33034752123349864,951
H,bb,bb,1.0,951
H,bb,hbp,0.045382287148331174,951
H,bb,hr,0.34298074546030394,951
H,bb,hit_bip,0.019080916479645167,951
H,bb,xbh,0.17145836744193868,951
H,bb,triple,-0.014829390275077502,951
H,hbp,k,0.1383269981546497,951
H,hbp,bb,0.045382287148331174,951
H,hbp,hbp,1.0,951
H,hbp,hr,0.1096443119706338,951
H,hbp,hit_bip,-0.04090068883195135,951
H,hbp,xbh,0.1292925587998414,951
H,hbp,triple,-0.03578820806599723,951
H,hr,k,0.4202769058848878,951
H,hr,bb,0.34298074546030394,951
H,hr,hbp,0.1096443119706338,951
H,hr,hr,1.0,951
H,hr,hit_bip,-0.0589273107889262,951
H,hr,xbh,0.3111691840061812,951
H,hr,triple,-0.16998505213284654,951
H,hit_bip,k,0.0645952921123893,951
H,hit_bip,bb,0.019080916479645167,951
H,hit_bip,hbp,-0.04090068883195135,951
H,hit_bip,hr,-0.0589273107889262,951
H,hit_bip,hit_bip,1.0,951
H,hit_bip,xbh,-0.010796614114884535,951
H,hit_bip,triple,0.1702932586520911,951
H,xbh,k,0.23621008230643015,951
H,xbh,bb,0.17145836744193868,951
H,xbh,hbp,0.1292925587998414,951
H,xbh,hr,0.3111691840061812,951
H,xbh,hit_bip,-0.010796614114884535,951
H,xbh,xbh,1.0,951
H,xbh,triple,0.0451949478359526,951
H,triple,k,0.035138382049137204,951
H,triple,bb,-0.014829390275077502,951
H,triple,hbp,-0.03578820806599723,951
H,triple,hr,-0.16998505213284654,951
H,triple,hit_bip,0.1702932586520911,951
H,triple,xbh,0.0451949478359526,951
H,triple,triple,1.0,951
P,k,k,1.0,1250
P,k,bb,0.3165876997910446,1250
P,k,hbp,0.113152493333619,1250
P,k,hr,-0.041383042227818745,1250
P,k,hit_bip,-0.1456990064813448,1250
P,bb,k,0.3165876997910446,1250
P,bb,bb,1.0,1250
P,bb,hbp,0.28201554601621553,1250
P,bb,hr,0.0038090803928404783,1250
P,bb,hit_bip,-0.08791191287079364,1250
P,hbp,k,0.113152493333619,1250
P,hbp,bb,0.28201554601621553,1250
P,hbp,hbp,1.0,1250
P,hbp,hr,-0.10089785273049583,1250
P,hbp,hit_bip,0.04146954629195712,1250
P,hr,k,-0.041383042227818745,1250
P,hr,bb,0.0038090803928404783,1250
P,hr,hbp,-0.10089785273049583,1250
P,hr,hr,1.0,1250
P,hr,hit_bip,-0.08769919653268936,1250
P,hit_bip,k,-0.1456990064813448,1250
P,hit_bip,bb,-0.08791191287079364,1250
P,hit_bip,hbp,0.04146954629195712,1250
P,hit_bip,hr,-0.08769919653268936,1250
P,hit_bip,hit_bip,1.0,1250
